open_time,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,volume
2026-01-01T00:00:00Z,100.00,100.30,99.70,100.00,100.10,100.40,99.80,100.10,100
2026-01-01T00:01:00Z,100.00,100.20,98.70,99.00,100.10,100.30,98.80,99.10,100
2026-01-01T00:02:00Z,99.00,99.20,97.70,98.00,99.10,99.30,97.80,98.10,100
2026-01-01T00:03:00Z,98.00,98.20,96.70,97.00,98.10,98.30,96.80,97.10,100
2026-01-01T00:04:00Z,97.00,98.30,96.70,98.00,97.10,98.40,96.80,98.10,100
2026-01-01T00:05:00Z,98.00,99.30,97.70,99.00,98.10,99.40,97.80,99.10,100
2026-01-01T00:06:00Z,99.00,101.30,98.70,101.00,99.10,101.40,98.80,101.10,100
2026-01-01T00:07:00Z,101.00,103.30,100.70,103.00,101.10,103.40,100.80,103.10,100
2026-01-01T00:08:00Z,103.00,103.20,101.70,102.00,103.10,103.30,101.80,102.10,100
2026-01-01T00:09:00Z,102.00,102.20,99.70,100.00,102.10,102.30,99.80,100.10,100
2026-01-01T00:10:00Z,100.00,100.20,97.70,98.00,100.10,100.30,97.80,98.10,100
2026-01-01T00:11:00Z,98.00,98.20,95.70,96.00,98.10,98.30,95.80,96.10,100
2026-01-01T00:12:00Z,96.00,97.30,95.70,97.00,96.10,97.40,95.80,97.10,100
2026-01-01T00:13:00Z,97.00,99.30,96.70,99.00,97.10,99.40,96.80,99.10,100
2026-01-01T00:14:00Z,99.00,102.30,98.70,102.00,99.10,102.40,98.80,102.10,100
2026-01-01T00:15:00Z,102.00,104.30,101.70,104.00,102.10,104.40,101.80,104.10,100
2026-01-01T00:16:00Z,104.00,104.20,102.70,103.00,104.10,104.30,102.80,103.10,100
2026-01-01T00:17:00Z,103.00,103.20,100.70,101.00,103.10,103.30,100.80,101.10,100
2026-01-01T00:18:00Z,101.00,101.20,98.70,99.00,101.10,101.30,98.80,99.10,100
2026-01-01T00:19:00Z,99.00,99.20,97.70,98.00,99.10,99.30,97.80,98.10,100
